case_id,family,m,seed,TVE_fraction_N0,TVE_fraction_O1,TVE_fraction_O2,angle_RMSE_deg_N0,angle_RMSE_deg_O1,angle_RMSE_deg_O2,Excess_N0_TVE_fraction,Excess_O1_TVE_fraction,Excess_O2_TVE_fraction,Recovery_Recenter_TVE_fraction,Recovery_Relinearize_TVE_fraction,Excess_N0_angle_RMSE_deg,Excess_O1_angle_RMSE_deg,Excess_O2_angle_RMSE_deg,Recovery_Recenter_angle_RMSE_deg,Recovery_Relinearize_angle_RMSE_deg
M1-NETWORK_m0p5_s1,M1_NETWORK,0.5,1,0.000890146165032,9.373070707276132e-07,5.047995347051544e-08,0.0707040731963806,0.0001071301081573,6.820099332227652e-06,0.0008900918862207,8.8302825937997e-07,-3.79885787712782e-09,0.9990079358400522,1.0000042679390029,0.0706967480794504,9.980499122717535e-05,-5.050175979351612e-07,0.9985882661658636,1.0000071434346225
M1-NETWORK_m0p5_s2,M1_NETWORK,0.5,2,0.0008902825950674,1.0779317760862489e-06,5.8017618187058274e-08,0.0707152785734749,0.0001232010292954,7.842683717319896e-06,0.0008902283162561,1.0236529647386056e-06,3.738806839415013e-09,0.9988501231133114,0.9999958001708426,0.0707079534565447,0.0001158759123653,5.175667871570829e-07,0.9983612039848316,0.999992680218252
M1-NETWORK_m1p0_s1,M1_NETWORK,1.0,1,0.0017692899122459,1.871925405968065e-06,5.0452282745628444e-08,0.1405846154468624,0.0002131045562503,6.825784944484879e-06,0.0017692356334345,1.8176465946204216e-06,-3.826528602014817e-09,0.998972637358037,1.000002162814568,0.1405772903299323,0.0002057794393201,-4.993319856779346e-07,0.9985361829151976,1.0000035520103177
M1-NETWORK_m1p0_s2,M1_NETWORK,1.0,2,0.0017695632110253,2.152751661354073e-06,5.7985794752185475e-08,0.1406070061763047,0.0002450734979912,7.849218040824296e-06,0.001769508932214,2.0984728500064297e-06,3.706983404542213e-09,0.99881409310131,0.9999979050778794,0.1405996810593745,0.000237748381061,5.241011106614834e-07,0.9983090403956134,0.9999962723876276
M1-NETWORK_m1p5_s1,M1_NETWORK,1.5,1,0.0026376282640158,2.7889897839973053e-06,5.0424877394970286e-08,0.2096531338211591,0.0003171061617067,6.831321474928334e-06,0.0026375739852044,2.734710972649662e-06,-3.8539339526729686e-09,0.9989631718435236,1.0000014611661985,0.209645808704229,0.0003097810447765,-4.937954552344794e-07,0.9985223599427469,1.0000023553795725
M1-NETWORK_m1p5_s2,M1_NETWORK,1.5,2,0.0026380357601972,3.2073839650061238e-06,5.795425247515263e-08,0.2096864865735994,0.0003646771414305,7.855580152710405e-06,0.0026379814813859,3.15310515365848e-06,3.675441127509377e-09,0.9988047280938448,0.9999986067221648,0.2096791614566693,0.0003573520245003,5.304632225475916e-07,0.9982957198892928,0.9999974701194966
M2-MACHINE_m0p5_s1,M2_MACHINE,0.5,1,4.9326307813452164e-08,4.9326307813452164e-08,4.6497856907208455e-08,6.642915394149626e-06,6.642915394149626e-06,6.407582901271188e-06,-4.952503534191097e-09,-4.952503534191097e-09,-7.780954440434806e-09,,,-6.822015360131871e-07,-6.822015360131871e-07,-9.175340288916252e-07,,
M2-MACHINE_m0p5_s2,M2_MACHINE,0.5,2,5.6689919229929546e-08,5.6689919229929546e-08,5.3440276619535385e-08,7.638931600866488e-06,7.638931600866488e-06,7.3683014982936786e-06,2.4111078822862917e-09,2.4111078822862917e-09,-8.385347281078757e-10,0.0,1.3477798460485102,3.1381467070367466e-07,3.1381467070367466e-07,4.3184568130865525e-08,0.0,0.86238830697739
M2-MACHINE_m1p0_s1,M2_MACHINE,1.0,1,4.81619955681166e-08,4.81619955681166e-08,4.302320882269863e-08,6.475117915398216e-06,6.475117915398216e-06,6.045436489331355e-06,-6.116815779526656e-09,-6.116815779526656e-09,-1.1255602524944625e-08,,,-8.499990147645975e-07,-8.499990147645975e-07,-1.2796804408314577e-06,,
M2-MACHINE_m1p0_s2,M2_MACHINE,1.0,2,5.535048800750152e-08,5.535048800750152e-08,4.9446671472891186e-08,7.445977187999237e-06,7.445977187999237e-06,6.951846780931289e-06,1.0716766598582671e-09,1.0716766598582671e-09,-4.832139874752075e-09,0.0,5.50895317193074,1.2086025783642398e-07,1.2086025783642398e-07,-3.732701492315241e-07,0.0,4.0884440916609615
M2-MACHINE_m1p5_s1,M2_MACHINE,1.5,1,4.701947426280331e-08,4.701947426280331e-08,3.998983117820383e-08,6.3113488528887085e-06,6.3113488528887085e-06,5.720826636387225e-06,-7.259337084839942e-09,-7.259337084839942e-09,-1.4288980169439422e-08,,,-1.0137680772741046e-06,-1.0137680772741046e-06,-1.6042902937755875e-06,,
M2-MACHINE_m1p5_s2,M2_MACHINE,1.5,2,5.4036522997152414e-08,5.4036522997152414e-08,4.5960613110118415e-08,7.25765731785471e-06,7.25765731785471e-06,6.57856045353775e-06,-2.4228835049084715e-10,-2.4228835049084715e-10,-8.318198237524846e-09,,,-6.745961230810338e-08,-6.745961230810338e-08,-7.465564766250627e-07,,
M3-GOVERNOR_m0p5_s1,M3_GOVERNOR,0.5,1,5.0514779559343625e-08,5.0514779559343625e-08,5.0504504251979545e-08,6.814626240504559e-06,6.814626240504559e-06,6.814320990434157e-06,-3.7640317882996295e-09,-3.7640317882996295e-09,-3.774307095663709e-09,,,-5.104906896582539e-07,-5.104906896582539e-07,-5.107959397286559e-07,,
M3-GOVERNOR_m0p5_s2,M3_GOVERNOR,0.5,2,5.8057627352336443e-08,5.8057627352336443e-08,5.804580920857047e-08,7.836387104197796e-06,7.836387104197796e-06,7.836035989249718e-06,3.7788160046931825e-09,3.7788160046931825e-09,3.7669978609272115e-09,0.0,0.0031274726663836,5.112701740349834e-07,5.112701740349834e-07,5.10919059086905e-07,0.0,0.0006867503052395
M3-GOVERNOR_m1p0_s1,M3_GOVERNOR,1.0,1,5.0520113612379745e-08,5.0520113612379745e-08,5.050135148818125e-08,6.81490636788526e-06,6.81490636788526e-06,6.814349760571738e-06,-3.7586977352635155e-09,-3.7586977352635155e-09,-3.777459859462003e-09,,,-5.10210562277553e-07,-5.10210562277553e-07,-5.107671695910749e-07,,
M3-GOVERNOR_m1p0_s2,M3_GOVERNOR,1.0,2,5.8063764374068914e-08,5.8063764374068914e-08,5.80421850821611e-08,7.836709494246929e-06,7.836709494246929e-06,7.836069255421641e-06,3.784953026425653e-09,3.784953026425653e-09,3.763373734517844e-09,0.0,0.0057013367820282,5.115925640841155e-07,5.115925640841155e-07,5.109523252588283e-07,0.0,0.0012514623359183
M3-GOVERNOR_m1p5_s1,M3_GOVERNOR,1.5,1,5.052432658404957e-08,5.052432658404957e-08,5.0498466341893047e-08,6.8151274954478844e-06,6.8151274954478844e-06,6.814361133476308e-06,-3.754484763593694e-09,-3.754484763593694e-09,-3.780345005750214e-09,,,-5.099894347149286e-07,-5.099894347149286e-07,-5.107557966865054e-07,,
M3-GOVERNOR_m1p5_s2,M3_GOVERNOR,1.5,2,5.806858327868265e-08,5.806858327868265e-08,5.8038840057015816e-08,7.836961038712612e-06,7.836961038712612e-06,7.836079527908023e-06,3.789771931039391e-09,3.789771931039391e-09,3.760028709372561e-09,0.0,0.0078482880257843,5.118441085497992e-07,5.118441085497992e-07,5.109625977452099e-07,0.0,0.0017222251655624
M4-AVR_m0p5_s1,M4_AVR,0.5,1,5.049186401720087e-08,5.049186401720087e-08,5.06021650301893e-08,6.813919186220111e-06,6.813919186220111e-06,6.81599489126083e-06,-3.786947330442388e-09,-3.786947330442388e-09,-3.6766463174539532e-09,,,-5.111977439427022e-07,-5.111977439427022e-07,-5.09122038901983e-07,,
M4-AVR_m0p5_s2,M4_AVR,0.5,2,5.8031291530747174e-08,5.8031291530747174e-08,5.8158045691332266e-08,7.83557294529126e-06,7.83557294529126e-06,7.837960100280646e-06,3.752480183103913e-09,3.752480183103913e-09,3.879234343689011e-09,0.0,-0.0337787688142436,5.104560151284464e-07,5.104560151284464e-07,5.128431701178334e-07,0.0,-0.0046765145647
