family,threshold,lower_m,upper_m,interval
M1_NETWORK,2x,0.0,0.25,"[0.0,0.25]"
M1_NETWORK,5x,0.25,0.5,"[0.25,0.5]"
M1_NETWORK,10x,0.75,1.0,"[0.75,1.0]"
M2_MACHINE,2x,,,not_reached
M2_MACHINE,5x,,,not_reached
M2_MACHINE,10x,,,not_reached
M3_GOVERNOR,2x,,,not_reached
M3_GOVERNOR,5x,,,not_reached
M3_GOVERNOR,10x,,,not_reached
M4_AVR,2x,,,not_reached
M4_AVR,5x,,,not_reached
M4_AVR,10x,,,not_reached
M5_LOAD_MODEL,2x,,,not_reached
M5_LOAD_MODEL,5x,,,not_reached
M5_LOAD_MODEL,10x,,,not_reached
M6_OPERATING_POINT,2x,0.0,0.25,"[0.0,0.25]"
M6_OPERATING_POINT,5x,0.75,1.0,"[0.75,1.0]"
M6_OPERATING_POINT,10x,,,not_reached
M7_COUPLED,2x,,,not_reached
M7_COUPLED,5x,,,not_reached
M7_COUPLED,10x,,,not_reached
