split,case_id,family,m,seed,excitation,method,policy,window,cadence,TVE_fraction,TVE_percent,angle_RMSE_deg,magnitude_RMSE,complex_RMSE,p95_TVE_percent,worst_bus_TVE_percent,NLL,NEES_like,coverage50,coverage90,coverage95
TEST,M1-NETWORK_m0p0_s201_EA,M1_NETWORK,0.0,201,E-A,R0_FROZEN_B2,NA,0,0,0.0003843856459803053,0.03843856459803053,0.02867105098668304,0.00017478392124995224,0.0005329329542843438,0.14827465031483014,0.1562847974839115,,,,,
TEST,M1-NETWORK_m0p0_s201_EA,M1_NETWORK,0.0,201,E-A,R1_ORACLE_RECENTERED,NA,0,0,1.2173761852464172e-05,0.0012173761852464172,0.0016306113013118259,3.192526036899295e-05,4.291753885642596e-05,0.00281154282862447,0.012292937586539333,,,,,
TEST,M1-NETWORK_m0p0_s201_EA,M1_NETWORK,0.0,201,E-A,R2A_ONLINE_OFFSET_ONLY,ALWAYS_RECENTER,60,1,0.00036605089492085783,0.03660508949208578,0.02809549251858038,0.00016149529235973963,0.0005189735408239845,0.12907952292383384,0.17899712704958448,-11.191364095398603,0.0623470780284744,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s201_EA,M1_NETWORK,0.0,201,E-A,R2A_ONLINE_OFFSET_ONLY,ADAPTIVE_RECENTER,60,1,0.0003843856459803053,0.03843856459803053,0.02867105098668304,0.00017478392124995224,0.0005329329542843438,0.14827465031483014,0.1562847974839115,-5.5802542373153425,0.0004393010494335435,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s202_EB,M1_NETWORK,0.0,202,E-B,R0_FROZEN_B2,NA,0,0,6.390785224751082e-07,6.390785224751081e-05,0.00011715669512542303,2.012842114389511e-06,2.879909667536341e-06,0.00011621782708346853,0.0007833359067444004,,,,,
TEST,M1-NETWORK_m0p0_s202_EB,M1_NETWORK,0.0,202,E-B,R1_ORACLE_RECENTERED,NA,0,0,6.390785224751082e-07,6.390785224751081e-05,0.00011715669512542303,2.012842114389511e-06,2.879909667536341e-06,0.00011621782708346853,0.0007833359067444004,,,,,
TEST,M1-NETWORK_m0p0_s202_EB,M1_NETWORK,0.0,202,E-B,R2A_ONLINE_OFFSET_ONLY,ALWAYS_RECENTER,60,1,1.8300118783198817e-05,0.0018300118783198818,0.0016720638955169886,2.9128691020885996e-05,4.14397783192194e-05,0.00665319911471124,0.010435607207361808,-11.222377731032989,0.0003198067597013535,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s202_EB,M1_NETWORK,0.0,202,E-B,R2A_ONLINE_OFFSET_ONLY,ADAPTIVE_RECENTER,60,1,6.390785224751082e-07,6.390785224751081e-05,0.00011715669512542303,2.012842114389511e-06,2.879909667536341e-06,0.00011621782708346853,0.0007833359067444004,-5.580473878731552,1.8217012840213936e-08,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s203_EC,M1_NETWORK,0.0,203,E-C,R0_FROZEN_B2,NA,0,0,2.6986692433311425e-06,0.00026986692433311423,0.00012109466136215615,3.475675768011183e-06,4.082662492358969e-06,0.0009867763161826412,0.0011902837270980169,,,,,
TEST,M1-NETWORK_m0p0_s203_EC,M1_NETWORK,0.0,203,E-C,R1_ORACLE_RECENTERED,NA,0,0,4.206352229734741e-08,4.20635222973474e-06,8.120861153702387e-06,1.1207538427651669e-07,1.8149785679513048e-07,3.0298294305465984e-05,6.0125640811496935e-05,,,,,
