case_id,m,information_rank,parameter_dimension,nullspace_dimension,functional_hidden_voltage_residual,smallest_singular_value
M6-OPERATING-POINT_m0p5_s611_EC,0.5,25,43,18,0.04194808388032854,4.035845858068774e-18
M6-OPERATING-POINT_m0p5_s612_ED,0.5,25,43,18,0.041948063085128204,3.987980128366055e-18
M6-OPERATING-POINT_m0p5_s613_EA,0.5,25,43,18,0.04194807412537337,3.863344896966186e-18
M6-OPERATING-POINT_m0p5_s614_EB,0.5,25,43,18,0.041948045566631564,6.110700732957058e-18
M6-OPERATING-POINT_m0p5_s615_EC,0.5,25,43,18,0.041948090543461165,5.79854391216301e-18
M6-OPERATING-POINT_m0p5_s616_ED,0.5,25,43,18,0.04194806505023539,3.389176901575374e-18
M6-OPERATING-POINT_m0p5_s617_EA,0.5,25,43,18,0.041948077404848017,9.142928695256918e-18
M6-OPERATING-POINT_m0p5_s618_EB,0.5,25,43,18,0.041948045566631564,6.110700732957058e-18
M6-OPERATING-POINT_m0p5_s619_EC,0.5,25,43,18,0.04194809720656173,4.757617475479435e-18
M6-OPERATING-POINT_m0p5_s620_ED,0.5,25,43,18,0.04194806696536932,5.9527813394558205e-18
M6-OPERATING-POINT_m0p5_s621_EA,0.5,25,43,18,0.041948063085128204,3.987980128366055e-18
M6-OPERATING-POINT_m0p5_s622_EB,0.5,25,43,18,0.041948045566631564,6.110700732957058e-18
M6-OPERATING-POINT_m0p5_s623_EC,0.5,25,43,18,0.041948070553946865,1.983884889337588e-18
M6-OPERATING-POINT_m0p5_s624_ED,0.5,25,43,18,0.04194805900499362,4.353199814114783e-18
M6-OPERATING-POINT_m0p5_s625_EA,0.5,25,43,18,0.04194806696536932,5.9527813394558205e-18
M6-OPERATING-POINT_m0p5_s626_EB,0.5,25,43,18,0.041948045566631564,6.110700732957058e-18
M6-OPERATING-POINT_m0p5_s627_EC,0.5,25,43,18,0.04194807721715857,2.6899955011245588e-18
M6-OPERATING-POINT_m0p5_s628_ED,0.5,25,43,18,0.04194806107004183,3.2336423585069825e-18
M6-OPERATING-POINT_m0p5_s629_EA,0.5,25,43,18,0.04194807064546193,5.194988047094579e-18
