architecture,model_seed,split,policy,missing_only_precision,missing_only_recall,event5_f1,event6_f1,integrity_top1_events5_6,physical_event6_top1,global_false_alarm_episodes_per_min,global_abnormal_f1
flat,11,validation,learned_only,0.005235602094240838,0.005681818181818182,0.005449591280653951,0.9521640091116174,0.791970802919708,0.8304347826086956,3.216374109990828,0.9752637098266609
flat,11,validation,availability_gate_plus_learned,0.43137254901960786,1.0,0.6027397260273972,0.9575070821529745,0.9981751824817519,0.8304347826086956,3.216374109990828,0.988799610421232
flat,11,test,learned_only,0.01015228426395939,0.011363636363636364,0.010723860589812333,0.9627959413754228,0.8001824817518248,0.8076086956521739,3.3562164625991247,0.9769590931493346
flat,11,test,availability_gate_plus_learned,0.43137254901960786,1.0,0.6027397260273972,0.9674523007856342,1.0,0.8076086956521739,3.3562164625991247,0.9900869670984613
typed,11,validation,learned_only,0.0,0.0,0.0,0.9050147492625369,0.7043795620437956,0.7478260869565218,3.6359011678157187,0.9648303000491883
typed,11,validation,availability_gate_plus_learned,0.43672456575682383,1.0,0.6079447322970639,0.9321058688147296,0.9753649635036497,0.7945652173913044,3.6359011678157187,0.9792651873408512
typed,11,test,learned_only,0.0,0.0,0.0,0.9214536928487691,0.7244525547445255,0.7391304347826086,3.7757435204240153,0.9636910978681575
typed,11,test,availability_gate_plus_learned,0.44783715012722647,1.0,0.6186291739894552,0.9455587392550143,0.9762773722627737,0.7804347826086957,3.7757435204240153,0.9777589237015939
typed_topology,11,validation,learned_only,0.0,0.0,0.0,0.9050147492625369,0.7262773722627737,0.8119565217391305,3.6359011678157187,0.9648303000491883
typed_topology,11,validation,availability_gate_plus_learned,0.43672456575682383,1.0,0.6079447322970639,0.9321058688147296,0.9753649635036497,0.842391304347826,3.6359011678157187,0.9792651873408512
typed_topology,11,test,learned_only,0.0,0.0,0.0,0.9214536928487691,0.7363138686131386,0.8097826086956522,3.7757435204240153,0.9636910978681575
typed_topology,11,test,availability_gate_plus_learned,0.44783715012722647,1.0,0.6186291739894552,0.9455587392550143,0.9771897810218978,0.8315217391304348,3.7757435204240153,0.9777589237015939
flat,29,validation,learned_only,0.009345794392523364,0.011363636363636364,0.010256410256410256,0.9273678094131319,0.7609489051094891,0.866304347826087,3.9155858730323123,0.9749276165835027
flat,29,validation,availability_gate_plus_learned,0.40930232558139534,1.0,0.5808580858085809,0.949943117178612,0.9917883211678832,0.866304347826087,3.9155858730323123,0.9883883518754939
flat,29,test,learned_only,0.0041841004184100415,0.005681818181818182,0.004819277108433735,0.9333333333333333,0.760036496350365,0.8641304347826086,3.076531757382531,0.9771481367416076
flat,29,test,availability_gate_plus_learned,0.39111111111111113,1.0,0.5623003194888179,0.9473684210526315,0.9735401459854015,0.8641304347826086,3.076531757382531,0.9902711905630548
typed,29,validation,learned_only,0.0,0.0,0.0,0.909952606635071,0.7116788321167883,0.7532608695652174,3.9155858730323123,0.9668711656441717
