source_bus,a50,a90,a95,EVI,a_min
3,0.0002,0.0005,0.0005,367699695.28315073,0.00018815154519942698
4,0.0002,0.0005,0.0005,449933532.34964246,0.00017009057281112825
7,0.0005,0.0005,0.0005,123647748.52705948,0.0003244601150961819
8,0.0002,0.0002,0.0002,763712535.3946675,0.00013055378422378804
12,0.001,0.001,0.001,28293064.79814951,0.000678288458284227
15,0.0005,0.0005,0.0005,110768040.62897757,0.0003428050314184661
16,0.0002,0.0002,0.0005,420498844.10025245,0.00017594301146811516
18,0.0005,0.0005,0.001,61230235.716703795,0.0004610748765428495
20,0.0001,0.0001,0.0002,1838963096.6008735,8.413329873328616e-05
21,0.0002,0.0005,0.0005,236918149.41715643,0.00023439873225260916
23,0.0002,0.0005,0.0005,348095572.6184697,0.00019337715855829556
24,0.0001,0.0002,0.0002,838339531.566852,0.00012460757707726753
25,0.0005,0.0005,0.0005,143420356.39023307,0.0003012652399892024
26,0.0005,0.0005,0.0005,81414916.08293357,0.00039985491113884574
27,0.0002,0.0005,0.0005,308501348.2206544,0.00020541203784277853
28,0.0005,0.0005,0.0005,213319719.962004,0.00024702387031538353
