bus_i,bus_j,coherence,principal_angle_deg,J_gj
3,4,0.8654971092430649,30.060482813128758,92261278.54809779
3,7,0.32743887266000793,70.88660099830622,328276325.57731736
3,8,0.2590174946361189,74.98822825368327,343030699.73523504
3,12,-0.890393607565626,27.077250833559905,76187091.382931
3,15,0.8571798279164775,30.998606372858184,97529675.63489568
3,16,0.9692357398973116,14.248875659057523,22276012.541568637
3,18,0.9804063623820146,11.360745853436997,14267985.33969903
3,20,0.9612403673379646,16.004432904022234,27951411.63108301
3,21,0.8735625927157035,29.124687255413956,87103791.24880862
3,23,0.8230359540427405,34.61013058513299,118624267.30312496
3,24,0.9609173756511883,16.0714174560437,28179694.667180896
3,25,0.9539623747448749,17.45317680042517,33076715.678856313
3,26,0.8142557246175882,35.48616403262023,123910243.32303217
3,27,0.6251173728424951,51.309197173549144,224013049.29957256
3,28,0.8318592257122648,33.70979818306576,113255267.1993542
4,3,0.8654971092430649,30.060482813128758,112894961.53722304
4,7,0.05664272928112837,86.75287274454048,448489966.15318394
4,8,-0.011005636513748465,89.3694107465511,449879034.58468974
4,12,-0.6667249926009852,48.185201412043384,249928081.60540324
4,15,0.8499005270736664,31.79914819137511,124932636.32369655
4,16,0.8177322162771039,35.14157998893278,149069288.44353735
4,18,0.8797873204133507,28.383281350155585,101673401.89912933
4,20,0.7860543797284401,38.18169907920288,171927931.9297238
4,21,0.782041454284659,38.552129073054274,174759206.92372197
4,23,0.6573321379234713,48.90327754433406,255523759.26404107
4,24,0.7661890470887803,39.98710879293536,185802006.74957535
4,25,0.774063013090804,39.27984082306416,180345261.30170393
4,26,0.633169157101379,50.715673840956086,269553747.7651261
4,27,0.49250199398426586,60.49483654218989,340798458.28889215
4,28,0.6340965253306533,50.6469923952832,269024976.00999486
7,3,0.32743887266000793,70.88660099830622,110390704.89605393
7,4,0.05664272928112837,86.75287274454048,123251037.24148418
7,8,0.9735338392024492,13.211302224795933,6458352.376036763
7,12,-0.3509452756155498,69.45485670937984,108418972.00642474
7,15,0.23321871819562617,76.51335446141167,116922427.48245414
7,16,0.3422377736275821,69.98672989100841,109165296.55893713
7,18,0.32655093207896285,70.94043575501601,110462507.64899883
7,20,0.3356728513353258,70.38654112734359,109715582.2793853
7,21,0.34214753243527385,69.99223252553612,109172933.0124818
7,23,0.26806741519089067,74.45070089801023,114762404.12009509
7,24,0.3457081796293744,69.77496832891555,108870093.5234666
