name,field,nominal,prior_sigma,support,layer,interpretation,support_complete,sensitivity_rms_fit,weighted_norm_fit,weighted_norm_holdout,curvature_ratio_fit,residual_alignment_fit,individual_linear_posterior_sd_z,event_sensitivity_json,preselection_status,preselection_reasons,max_abs_collinearity,most_collinear_with
plant_inertia_scale,inertia_scale,0.85,0.12,"('generation', 'load')",PLANT_DIAGNOSTIC,global aggregate inertia,True,0.03964182644481763,0.33637205157300903,0.2643309493393312,0.11400137101290037,0.053167017644538274,0.5965140571182309,"{""generation"": 0.071926066091233, ""load"": 0.03335473927590728}",ELIGIBLE,,0.4426036940261129,generation_delta_p_pu
plant_damping,damping,0.5,0.25,"('generation', 'load')",PLANT_DIAGNOSTIC,global synchronous-machine damping,True,0.0060354648156279184,0.05121261718491979,0.07787042028454591,0.008850564105584593,0.006899552455455328,0.9796562247655447,"{""generation"": 0.011032073485744268, ""load"": 0.004899050598623017}",REJECT,individual_posterior_sd_z>0.9; insufficient sensitivity in at least one declared support event,0.9818159705036295,plant_governor_droop_scale
plant_governor_droop_scale,governor_droop_scale,1.5,0.3,"('generation', 'load')",PLANT_DIAGNOSTIC,global TGOV1N droop scale,True,0.036680291259375226,0.3112425922248224,0.5312168912481546,0.05507933137469243,0.005931741117493658,0.6262302808913489,"{""generation"": 0.06679897527660089, ""load"": 0.030326093871226804}",ELIGIBLE,,0.9818159705036295,plant_damping
plant_governor_lag_scale,governor_lag_scale,1.6,0.4,"('generation', 'load')",PLANT_DIAGNOSTIC,global governor lag scale,True,0.0036708415542418874,0.03114812346798965,0.037355802483290096,0.033128666801230146,-0.11615069833768421,0.9923275666243191,"{""generation"": 0.006947826097641039, ""load"": 0.0023723455444631322}",REJECT,sensitivity_rms<0.005; individual_posterior_sd_z>0.9; insufficient sensitivity in at least one declared support event,0.6305312653799591,generation_delta_p_pu
plant_turbine_time_scale,turbine_time_scale,2.4,0.6,"('generation', 'load')",PLANT_DIAGNOSTIC,global turbine time scale,True,0.008378710092418326,0.07109571268734192,0.13696497132247462,0.0944022883627734,0.009692914786849407,0.9618615051620015,"{""generation"": 0.015045247827049019, ""load"": 0.0073791360655463935}",REJECT,individual_posterior_sd_z>0.9,0.9005852828604345,plant_governor_droop_scale
plant_avr_gain_scale,avr_gain_scale,0.85,0.17,"('fault', 'line')",PLANT_DIAGNOSTIC,global AVR gain scale,True,0.013503422012248608,0.11458033528901622,0.11534941676907497,0.05780305160102437,0.019605836517512753,0.9090689520505459,"{""fault"": 0.02674974368338428, ""line"": 0.0037176386371948126}",REJECT,individual_posterior_sd_z>0.9; insufficient sensitivity in at least one declared support event,0.5630169473725379,plant_avr_time_scale
plant_avr_time_scale,avr_time_scale,1.15,0.23,"('fault', 'line')",PLANT_DIAGNOSTIC,global AVR time scale,True,0.0064633389882408875,0.05484324993231036,0.05695542344880513,0.1501730717137011,-0.09003103745825639,0.9767728079297655,"{""fault"": 0.012766840504161856, ""line"": 0.002026520922406482}",REJECT,individual_posterior_sd_z>0.9; insufficient sensitivity in at least one declared support event,0.5630169473725379,plant_avr_gain_scale
plant_subtransient_x_scale,machine_subtransient_reactance_scale,1.3,0.2,"('fault', 'line')",PLANT_DIAGNOSTIC,global machine subtransient reactance scale,True,0.008723450518293244,0.07402093220196546,0.07147325556899714,0.15802821329778605,-0.005817778423452292,0.9588536118760207,"{""fault"": 0.009131114813780523, ""line"": 0.014866643805445817}",REJECT,individual_posterior_sd_z>0.9,0.18031239097324894,line_duration_s
fault_reactance_pu,fault_reactance_pu,0.0024,0.0008,"('fault',)",EVENT_OPERATOR,fault shunt reactance,True,0.21486775761978916,1.8232133816556044,1.6008817597379856,0.04531639432074236,0.9117050050646412,0.1358493627572635,"{""fault"": 0.4297355152395783}",ELIGIBLE,,0.9027238802763708,fault_duration_s
fault_duration_s,event_duration_s,0.067,0.015,"('fault',)",EVENT_OPERATOR,fault clearing duration,True,1.01825731186442,8.640199802545396,10.090693684431857,0.9495975410155097,-0.8240843343000456,0.028922411587494177,"{""fault"": 2.0365146237288396}",REJECT,curvature_ratio>0.5,0.9027238802763708,fault_reactance_pu
line_duration_s,event_duration_s,0.25,0.075,"('line',)",EVENT_OPERATOR,temporary line-open duration,True,0.17793634901904945,1.5098399881313538,0.8367683268137877,0.8194732298403178,-0.0632710038328015,0.16335624238972446,"{""line"": 0.3558726980380989}",REJECT,curvature_ratio>0.5,0.18031239097324894,plant_subtransient_x_scale
generation_delta_p_pu,severity,3.4,0.5,"('generation',)",EVENT_OPERATOR,BUS2 active-power withdrawal magnitude,True,0.18285955037306215,1.5516147368821838,1.8346259773718514,0.026802329834876796,-0.2591469583197434,0.15907092374620008,"{""generation"": 0.3657191007461243}",ELIGIBLE,,0.8734985975028031,generation_amplitude
generation_delta_q_pu,reactive_severity,1.75,0.35,"('generation',)",EVENT_OPERATOR,BUS2 reactive-power withdrawal magnitude,True,0.07014510062540265,0.5952009158308194,0.6258722135074677,0.04198986616932642,-0.05617082210417991,0.38725304560614404,"{""generation"": 0.1402902012508053}",ELIGIBLE,,0.4765321542018296,plant_damping
generation_tau_s,generation_recovery_time_constant_s,0.75,0.25,"('generation',)",EVENT_OPERATOR,generation recovery time constant,True,0.02353718055698177,0.19971959978224757,0.24912450298756045,0.07512895826718438,-0.2604990602146856,0.7812960912017048,"{""generation"": 0.04707436111396354}",ELIGIBLE,,0.9554928247439507,generation_amplitude
generation_residual,generation_residual_ratio,0.65,0.12,"('generation',)",EVENT_OPERATOR,generation long-run residual ratio,True,0.06584390436842551,0.5587040553445466,0.8456644062456968,0.005596224029847091,-0.2450554198940071,0.40843881908204827,"{""generation"": 0.13168780873685101}",ELIGIBLE,,0.950466608464048,generation_amplitude
generation_amplitude,generation_transient_amplitude_ratio,1.1,0.25,"('generation',)",EVENT_OPERATOR,generation transient pulse amplitude,True,0.1478373560304925,1.2544415635422141,1.5988853391872782,0.01594439572196388,-0.2646863633538427,0.19544832339654755,"{""generation"": 0.29567471206098506}",ELIGIBLE,,0.9554928247439507,generation_tau_s
generation_peak_s,generation_transient_peak_s,1.25,0.3,"('generation',)",EVENT_OPERATOR,generation pulse peak time,True,0.09073988903513404,0.7699534903302973,0.7969316110118494,0.08599537803458662,0.013759553744201153,0.30882362858965173,"{""generation"": 0.18147977807026802}",ELIGIBLE,,0.34621793891925673,generation_residual
load_delta_p_fraction,severity,0.25,0.08,"('load',)",EVENT_OPERATOR,BUS7 active-load fractional increase,True,0.13425285808115056,1.1391732761142805,1.4079379321591114,0.0016522448532134497,0.03934032078551392,0.21435622916041105,"{""load"": 0.26850571616230107}",ELIGIBLE,,0.14220801421277932,plant_inertia_scale
