name,field,nominal,prior_sigma,support,layer,interpretation,support_complete,sensitivity_rms_fit,weighted_norm_fit,weighted_norm_holdout,curvature_ratio_fit,residual_alignment_fit,individual_linear_posterior_sd_z,event_sensitivity_json,preselection_status,preselection_reasons,max_abs_collinearity,most_collinear_with,decision,orthogonal_fraction,trial_condition_number,reason,final_status,final_reason
plant_inertia_scale,inertia_scale,0.85,0.12,"('generation', 'load')",PLANT_DIAGNOSTIC,global aggregate inertia,True,0.0396418264448176,0.336372051573009,0.2643309493393312,0.1140013710129003,0.0531670176445382,0.5965140571182309,"{""generation"": 0.071926066091233, ""load"": 0.03335473927590728}",ELIGIBLE,,0.4426036940261129,generation_delta_p_pu,SELECT,0.8489457906922704,7.136073940051165,,RELEASED_RESTRICTED_POSTERIOR,
plant_damping,damping,0.5,0.25,"('generation', 'load')",PLANT_DIAGNOSTIC,global synchronous-machine damping,True,0.0060354648156279,0.0512126171849197,0.0778704202845459,0.0088505641055845,0.0068995524554553,0.9796562247655448,"{""generation"": 0.011032073485744268, ""load"": 0.004899050598623017}",REJECT,individual_posterior_sd_z>0.9; insufficient sensitivity in at least one declared support event,0.9818159705036296,plant_governor_droop_scale,REJECT_PRESELECTION,,,individual_posterior_sd_z>0.9; insufficient sensitivity in at least one declared support event,REJECTED_PRESELECTION,individual_posterior_sd_z>0.9; insufficient sensitivity in at least one declared support event
plant_governor_droop_scale,governor_droop_scale,1.5,0.3,"('generation', 'load')",PLANT_DIAGNOSTIC,global TGOV1N droop scale,True,0.0366802912593752,0.3112425922248224,0.5312168912481546,0.0550793313746924,0.0059317411174936,0.6262302808913489,"{""generation"": 0.06679897527660089, ""load"": 0.030326093871226804}",ELIGIBLE,,0.9818159705036296,plant_damping,SELECT,0.8880964983893505,7.826727232395702,,RELEASED_RESTRICTED_POSTERIOR,
plant_governor_lag_scale,governor_lag_scale,1.6,0.4,"('generation', 'load')",PLANT_DIAGNOSTIC,global governor lag scale,True,0.0036708415542418,0.0311481234679896,0.03735580248329,0.0331286668012301,-0.1161506983376842,0.9923275666243192,"{""generation"": 0.006947826097641039, ""load"": 0.0023723455444631322}",REJECT,sensitivity_rms<0.005; individual_posterior_sd_z>0.9; insufficient sensitivity in at least one declared support event,0.6305312653799591,generation_delta_p_pu,REJECT_PRESELECTION,,,sensitivity_rms<0.005; individual_posterior_sd_z>0.9; insufficient sensitivity in at least one declared support event,REJECTED_PRESELECTION,sensitivity_rms<0.005; individual_posterior_sd_z>0.9; insufficient sensitivity in at least one declared support event
plant_turbine_time_scale,turbine_time_scale,2.4,0.6,"('generation', 'load')",PLANT_DIAGNOSTIC,global turbine time scale,True,0.0083787100924183,0.0710957126873419,0.1369649713224746,0.0944022883627734,0.0096929147868494,0.9618615051620016,"{""generation"": 0.015045247827049019, ""load"": 0.0073791360655463935}",REJECT,individual_posterior_sd_z>0.9,0.9005852828604345,plant_governor_droop_scale,REJECT_PRESELECTION,,,individual_posterior_sd_z>0.9,REJECTED_PRESELECTION,individual_posterior_sd_z>0.9
plant_avr_gain_scale,avr_gain_scale,0.85,0.17,"('fault', 'line')",PLANT_DIAGNOSTIC,global AVR gain scale,True,0.0135034220122486,0.1145803352890162,0.1153494167690749,0.0578030516010243,0.0196058365175127,0.909068952050546,"{""fault"": 0.02674974368338428, ""line"": 0.0037176386371948126}",REJECT,individual_posterior_sd_z>0.9; insufficient sensitivity in at least one declared support event,0.5630169473725379,plant_avr_time_scale,REJECT_PRESELECTION,,,individual_posterior_sd_z>0.9; insufficient sensitivity in at least one declared support event,REJECTED_PRESELECTION,individual_posterior_sd_z>0.9; insufficient sensitivity in at least one declared support event
plant_avr_time_scale,avr_time_scale,1.15,0.23,"('fault', 'line')",PLANT_DIAGNOSTIC,global AVR time scale,True,0.0064633389882408,0.0548432499323103,0.0569554234488051,0.1501730717137011,-0.0900310374582563,0.9767728079297656,"{""fault"": 0.012766840504161856, ""line"": 0.002026520922406482}",REJECT,individual_posterior_sd_z>0.9; insufficient sensitivity in at least one declared support event,0.5630169473725379,plant_avr_gain_scale,REJECT_PRESELECTION,,,individual_posterior_sd_z>0.9; insufficient sensitivity in at least one declared support event,REJECTED_PRESELECTION,individual_posterior_sd_z>0.9; insufficient sensitivity in at least one declared support event
plant_subtransient_x_scale,machine_subtransient_reactance_scale,1.3,0.2,"('fault', 'line')",PLANT_DIAGNOSTIC,global machine subtransient reactance scale,True,0.0087234505182932,0.0740209322019654,0.0714732555689971,0.158028213297786,-0.0058177784234522,0.9588536118760208,"{""fault"": 0.009131114813780523, ""line"": 0.014866643805445817}",REJECT,individual_posterior_sd_z>0.9,0.1803123909732489,line_duration_s,REJECT_PRESELECTION,,,individual_posterior_sd_z>0.9,REJECTED_PRESELECTION,individual_posterior_sd_z>0.9
fault_reactance_pu,fault_reactance_pu,0.0024,0.0008,"('fault',)",EVENT_OPERATOR,fault shunt reactance,True,0.2148677576197891,1.8232133816556044,1.6008817597379856,0.0453163943207423,0.9117050050646412,0.1358493627572635,"{""fault"": 0.4297355152395783}",ELIGIBLE,,0.9027238802763708,fault_duration_s,SELECT,1.0,1.0,,REJECTED_PRIOR_DOMAIN,unconstrained robust MAP exceeds local/prior domain |z|<=2
fault_duration_s,event_duration_s,0.067,0.015,"('fault',)",EVENT_OPERATOR,fault clearing duration,True,1.01825731186442,8.640199802545396,10.090693684431857,0.9495975410155096,-0.8240843343000456,0.0289224115874941,"{""fault"": 2.0365146237288396}",REJECT,curvature_ratio>0.5,0.9027238802763708,fault_reactance_pu,REJECT_PRESELECTION,,,curvature_ratio>0.5,REJECTED_PRESELECTION,curvature_ratio>0.5
